7.5336,2.0753,3.6808
4.5057,4.6678,0.22394
4.1705,-3.5177,2.2002
5.4891,2.7243,0.91094
6.3003,1.6375,2.607
3.427,-1.6154,0.79935
6.0098,0.13282,2.9799
6.032,1.6852,3.4787
11.797,8.1568,5.4238
7.574,6.5389,1.6118
-0.43094,-1.6998,-2.2767
8.5058,7.0698,0.32082
7.5879,2.4508,4.7092
2.8233,0.87389,-0.14431
7.0325,2.4295,3.9219
4.1441,0.59007,2.2481
7.5697,0.75171,4.8734
2.986,3.9794,-1.9218
7.8833,3.8181,1.6046
4.294,3.8344,-0.41569
10.142,2.343,7.816
7.1814,-1.415,3.6504
9.7341,2.4345,4.7579
4.7959,4.2605,-0.11636
3.4392,1.9778,1.0628
5.3996,3.0694,1.4551
7.8481,2.4538,4.1968
4.7725,0.39312,1.4443
6.5955,1.5877,3.4031
1.2629,-0.57457,-2.1036
5.9434,2.7768,1.2923
1.4198,-1.2941,0.35283
0.44447,-1.1377,-1.1541
4.6637,-0.619,3.0159
2.3555,-4.8886,2.564
6.4781,3.8768,2.067
3.237,1.6504,-0.66736
3.5454,-0.50986,4.255
6.8436,3.7406,2.7004
4.2926,-2.423,1.4019
4.1723,0.79552,2.0458
5.5207,0.51711,1.476
2.8191,1.6384,-1.5004
5.0697,1.6257,1.4287
3.1211,-0.72976,0.33727
1.9423,0.9399,0.041587
2.9691,0.67024,-0.3128
6.5713,2.2554,0.93289
2.8869,3.1865,-2.0053
8.1863,3.2185,3.9285
4.6383,-0.72731,3.0401
5.3105,1.1547,1.9599
4.2556,-1.4282,1.9305
3.1762,-1.227,0.40367
6.754,0.9863,4.0374
6.3564,4.0653,1.7336
5.2679,-0.53933,0.57094
5.8455,1.7428,4.7028
6.8993,0.54883,1.5505
5.6947,3.2347,0.82194
4.6822,-1.1781,1.4125
2.1421,1.0651,0.30415
3.2463,2.1051,-0.24026
10.669,3.2012,7.052
10.247,4.0884,5.311
4.2693,1.1719,2.6151
2.0172,-1.9832,-0.51424
1.787,-0.4846,0.26906
3.9868,-1.1232,1.6469
9.7274,5.7009,3.5828
2.6139,-0.2312,-0.66401
2.9369,2.4962,-2.6597
3.5053,0.61516,-0.89819
6.138,2.7772,2.667
5.4966,-0.5297,2.7827
3.7664,-1.8045,2.9034
2.3213,-1.8448,1.7394
7.0437,1.9764,2.3674
4.2656,0.64525,1.0477
6.6007,0.60789,3.724
5.1794,3.8386,-0.72339
7.0052,1.5832,2.9101
4.3203,1.3956,0.30258
7.5352,4.1754,1.3302
6.4203,-0.60893,3.1056
8.1068,2.3932,4.0782
3.433,2.6702,-0.23528
6.6739,0.51257,4.5213
7.896,1.4313,3.3203
2.4002,-1.3317,1.8643
3.7762,-1.2959,1.6096
3.0643,1.2097,1.5648
6.4972,2.4445,1.3938
8.7887,6.171,2.0461
4.7266,-0.33378,2.1026
6.9034,1.3747,3.6521
5.4798,0.83501,5.054
4.7886,-2.866,2.9338
2.2911,0.12207,1.5806
2.3114,-2.5894,3.2504
